Card	Decks	Type	Mana Cost
Nezahal, Primal Tide	1	Creature	5UU
Mausoleum Wanderer	1	Creature	U
Stasis	1	Enchantment	1U
Sleight of Mind	1	Instant	U
Kiri-Onna	1	Creature	4U
Mulldrifter	1	Creature	4U
Manifold Insights	1	Sorcery	2U
Palinchron	1	Creature	5UU
Thought Scour	1	Instant	U
Mind Bend	1	Instant	U
Etherium Sculptor	1	Artifact Creature	1U
Serum Visions	1	Sorcery	U
Unified Will	1	Instant	1U
Body Double	1	Creature	4U
Mission Briefing	1	Instant	UU
Recurring Insight	1	Sorcery	4UU
Tetsuko Umezawa, Fugitive	1	Creature	1U
Search for Azcanta	1	Enchantment	1U
Loyal Drake	1	Creature	2U
Nightveil Sprite	1	Creature	1U
Time Warp	1	Sorcery	3UU
Reshape	1	Sorcery	XUU
Cephalid Inkshrouder	1	Creature	2U
Sky Diamond	1	Artifact	2
Capture of Jingzhou	1	Sorcery	3UU
Temporal Mastery	1	Sorcery	5UU
Deceiver Exarch	1	Creature	2U
Thing in the Ice	1	Creature	1U
Slithermuse	1	Creature	2UU
Pestermite	1	Creature	2U
Triton Shorestalker	1	Creature	U
Unwind	1	Instant	2U
Gudul Lurker	1	Creature	U
Part the Waterveil	1	Sorcery	4UU
Mystic Confluence	1	Instant	3UU
Quicken	1	Instant	U
Karn's Temporal Sundering	1	Sorcery	4UU
Arcum Dagsson	1	Creature	3U
Turnabout	1	Instant	2UU
Teferi, Temporal Archmage	1	Planeswalker	4UU
Trait Doctoring	1	Sorcery	U
Diminishing Returns	1	Sorcery	2UU
Slither Blade	1	Creature	U
Foresight	1	Sorcery	1U
Devastation Tide	1	Sorcery	3UU
Unsubstantiate	1	Instant	1U
Nexus of Fate	1	Instant	5UU
Manipulate Fate	1	Sorcery	1U
Hapless Researcher	1	Creature	U
Temporal Trespass	1	Sorcery	8UUU
Faerie Miscreant	1	Creature	U
Predict	1	Instant	1U
Spectral Shift	1	Instant	1U
Extract	1	Sorcery	U
Verity Circle	1	Enchantment	2U
Stormscape Familiar	1	Creature	1U
Silver Myr	1	Artifact Creature	2
Spellstutter Sprite	1	Creature	1U
Notorious Throng	1	Sorcery	3U
Looter il-Kor	1	Creature	1U
Daze	1	Instant	1U
Trinket Mage	1	Creature	2U
Wingcrafter	1	Creature	U
Temporal Manipulation	1	Sorcery	3UU
Alter Reality	1	Instant	1U
Kederekt Leviathan	1	Creature	6UU
Show and Tell	1	Sorcery	2U
Sidisi's Faithful	1	Creature	U
Glamerdye	1	Instant	1U
Peregrine Drake	1	Creature	4U
Anticipate	1	Instant	1U
Pulse of the Grid	1	Instant	1UU
Whim of Volrath	1	Instant	U
Tezzeret the Seeker	1	Planeswalker	3UU
Walk the Aeons	1	Sorcery	4UU
Prohibit	1	Instant	1U
Mist-Cloaked Herald	1	Creature	U
Phyrexian Metamorph	1	Artifact Creature	3U/P
Intruder Alarm	1	Enchantment	2U
