Card	Decks	Color	Mana Cost	ACC	RCC
Mana Tithe	1	W	W	N/A	N/A
Fork	1	R	RR	N/A	N/A
Sacrifice	1	B	B	N/A	N/A
Mind Bend	1	U	U	N/A	N/A
Unified Will	1	U	1U	N/A	N/A
Thunderclap	1	R	2R	0	N/A
Songs of the Damned	1	B	B	N/A	N/A
Rending Volley	1	R	R	N/A	N/A
Chaos Warp	1	R	2R	N/A	N/A
Berserk	1	G	G	N/A	N/A
Unwind	1	U	2U	N/A	N/A
Corpse Dance	1	B	2B	N/A	N/A
Mystic Confluence	1	U	3UU	N/A	N/A
Deglamer	1	G	1G	N/A	N/A
Mausoleum Secrets	1	B	1B	N/A	N/A
Turnabout	1	U	2UU	N/A	N/A
Reclaim	1	G	G	N/A	N/A
Savage Summoning	1	G	G	N/A	N/A
Ancient Animus	1	G	1G	N/A	N/A
Ricochet Trap	1	R	3R	R	N/A
Goryo's Vengeance	1	B	1B	N/A	N/A
Zealous Persecution	1	WB	WB	N/A	N/A
Might of Old Krosa	1	G	G	N/A	N/A
Unsubstantiate	1	U	1U	N/A	N/A
Nexus of Fate	1	U	5UU	N/A	N/A
Magnetic Theft	1	R	R	N/A	N/A
Spectral Shift	1	U	1U	N/A	N/A
Quicken	1	U	U	N/A	N/A
Shadow of Doubt	1	UB	U/BU/B	N/A	N/A
Daze	1	U	1U	0	N/A
Alter Reality	1	U	1U	N/A	N/A
Reap	1	G	1G	N/A	N/A
Glamerdye	1	U	1U	N/A	N/A
Pull from Eternity	1	W	W	N/A	N/A
Divergent Transformations	1	R	6R	N/A	N/A
Invigorate	1	G	2G	0	N/A
Anticipate	1	U	1U	N/A	N/A
Groundswell	1	G	G	N/A	N/A
Pulse of the Grid	1	U	1UU	N/A	N/A
Whim of Volrath	1	U	U	N/A	N/A
Prohibit	1	U	1U	N/A	N/A
Momentous Fall	1	G	2GG	N/A	N/A
Darkblast	1	B	B	N/A	N/A
