Card	Decks	Color	Mana Cost	ACC	RCC
Hagra Diabolist	2	B	4B	N/A	N/A
Sidisi, Undead Vizier	2	B	3BB	N/A	N/A
Fauna Shaman	2	G	1G	N/A	N/A
Nezahal, Primal Tide	1	U	5UU	N/A	N/A
Mausoleum Wanderer	1	U	U	N/A	N/A
Deceiver Exarch	1	U	2U	N/A	N/A
Reckless Bushwhacker	1	R	2R	N/A	1R
Vizier of the Menagerie	1	G	3G	N/A	N/A
Phyrexian Soulgorger	1		3	N/A	N/A
Prowling Serpopard	1	G	1GG	N/A	N/A
Mulldrifter	1	U	4U	N/A	2U
Purphoros, God of the Forge	1	R	3R	N/A	N/A
Melira, Sylvok Outcast	1	G	1G	N/A	N/A
Palinchron	1	U	5UU	N/A	N/A
Great Oak Guardian	1	G	5G	N/A	N/A
Eladamri, Lord of Leaves	1	G	GG	N/A	N/A
Kamahl, Fist of Krosa	1	G	4GG	N/A	N/A
Kiri-Onna	1	U	4U	N/A	N/A
Gray Merchant of Asphodel	1	B	3BB	N/A	N/A
Treasonous Ogre	1	R	3R	N/A	N/A
Krosan Wayfarer	1	G	G	N/A	N/A
Lupine Prototype	1		2	N/A	N/A
Sylvan Ranger	1	G	1G	N/A	N/A
Tishana, Voice of Thunder	1	UG	5GU	N/A	N/A
Wall of Blossoms	1	G	1G	N/A	N/A
Street Wraith	1	B	3BB	N/A	N/A
Torch Courier	1	R	R	N/A	N/A
Kiora's Follower	1	UG	GU	N/A	N/A
Birchlore Rangers	1	G	G	N/A	N/A
Goblin Sharpshooter	1	R	2R	N/A	N/A
Momir Vig, Simic Visionary	1	UG	3GU	N/A	N/A
Mogis's Marauder	1	B	2B	N/A	N/A
Ikra Shidiqi, the Usurper	1	BG	3BG	N/A	N/A
Noose Constrictor	1	G	1G	N/A	N/A
Voyaging Satyr	1	G	1G	N/A	N/A
Body Double	1	U	4U	N/A	N/A
Meren of Clan Nel Toth	1	BG	2BG	N/A	N/A
Spirit of the Labyrinth	1	W	1W	N/A	N/A
Tetsuko Umezawa, Fugitive	1	U	1U	N/A	N/A
Loyal Drake	1	U	2U	N/A	N/A
Saffi Eriksdotter	1	WG	GW	N/A	N/A
Qasali Pridemage	1	WG	GW	N/A	N/A
Varolz, the Scar-Striped	1	BG	1BG	N/A	N/A
Wingrattle Scarecrow	1		3	N/A	N/A
Skullwinder	1	G	2G	N/A	N/A
Insolent Neonate	1	R	R	N/A	N/A
Nightveil Sprite	1	U	1U	N/A	N/A
Hellraiser Goblin	1	R	2R	N/A	N/A
Anger	1	R	3R	N/A	N/A
Brass Squire	1		3	N/A	N/A
Duskwatch Recruiter	1	G	1G	N/A	N/A
Dire Fleet Daredevil	1	R	1R	N/A	N/A
Generous Patron	1	G	2G	N/A	N/A
Karametra's Acolyte	1	G	3G	N/A	N/A
Dualcaster Mage	1	R	1RR	N/A	N/A
Beastcaller Savant	1	G	1G	N/A	N/A
Kraul Harpooner	1	G	1G	N/A	N/A
Cephalid Inkshrouder	1	U	2U	N/A	N/A
Leaden Myr	1	B	2	N/A	N/A
Weathered Wayfarer	1	W	W	N/A	N/A
Murderous Redcap	1	BR	2B/RB/R	N/A	N/A
Nantuko Tracer	1	G	1G	N/A	N/A
Morselhoarder	1	RG	4R/GR/G	N/A	N/A
Skirk Prospector	1	R	R	N/A	N/A
Lightning Mauler	1	R	1R	N/A	N/A
Sliver Queen	1	WUBRG	WUBRG	N/A	N/A
Junk Diver	1		3	N/A	N/A
Bruse Tarl, Boorish Herder	1	WR	2RW	N/A	N/A
Scion of the Ur-Dragon	1	WUBRG	WUBRG	N/A	N/A
Plague Myr	1		2	N/A	N/A
Thing in the Ice	1	U	1U	N/A	N/A
Whirlpool Warrior	1	UR	2U	N/A	N/A
Sun Titan	1	W	4WW	N/A	N/A
Slithermuse	1	U	2UU	N/A	3U
Animar, Soul of Elements	1	URG	GUR	N/A	N/A
Ancestral Statue	1		4	N/A	N/A
Channeler Initiate	1	G	1G	N/A	N/A
Loyal Apprentice	1	R	1R	N/A	N/A
Pestermite	1	U	2U	N/A	N/A
Bloodghast	1	B	BB	N/A	N/A
Triton Shorestalker	1	U	U	N/A	N/A
Craterhoof Behemoth	1	G	5GGG	N/A	N/A
Goblin Welder	1	R	R	N/A	N/A
Gudul Lurker	1	U	U	N/A	N/A
Plaguecrafter	1	B	2B	N/A	N/A
Regal Force	1	G	4GGG	N/A	N/A
Arcbound Ravager	1		2	N/A	N/A
Ravaging Riftwurm	1	G	1GG	N/A	N/A
Sakura-Tribe Scout	1	G	G	N/A	N/A
Stormscape Familiar	1	U	1U	N/A	N/A
Rashmi, Eternities Crafter	1	UG	2GU	N/A	N/A
Niv-Mizzet, Dracogenius	1	UR	2UURR	N/A	N/A
Thought-Knot Seer	1		3C	N/A	N/A
The Mimeoplasm	1	UBG	2BGU	N/A	N/A
Goblin Matron	1	R	2R	N/A	N/A
Fiend Hunter	1	W	1WW	N/A	N/A
Genesis Hydra	1	G	XGG	N/A	N/A
Spire Tracer	1	G	G	N/A	N/A
Sidisi, Brood Tyrant	1	UBG	1BGU	N/A	N/A
Mother of Runes	1	W	W	N/A	N/A
Tendershoot Dryad	1	G	4G	N/A	N/A
Arcum Dagsson	1	U	3U	N/A	N/A
Selvala, Explorer Returned	1	WG	1GW	N/A	N/A
Reassembling Skeleton	1	B	1B	N/A	N/A
Dosan the Falling Leaf	1	G	1GG	N/A	N/A
Heart Warden	1	G	1G	N/A	N/A
Phyrexian Devourer	1		6	N/A	N/A
Godo, Bandit Warlord	1	R	5R	N/A	N/A
Sheltering Ancient	1	G	1G	N/A	N/A
Xantid Swarm	1	G	G	N/A	N/A
Gaea's Herald	1	G	1G	N/A	N/A
Slither Blade	1	U	U	N/A	N/A
Ulvenwald Tracker	1	G	G	N/A	N/A
Palladium Myr	1		3	N/A	N/A
Ravenous Slime	1	G	2G	N/A	N/A
Hedron Crawler	1		2	N/A	N/A
Spellstutter Sprite	1	U	1U	N/A	N/A
Ramunap Excavator	1	G	2G	N/A	N/A
Hapless Researcher	1	U	U	N/A	N/A
Etherium Sculptor	1	U	1U	N/A	N/A
Scrap Trawler	1		3	N/A	N/A
Faerie Miscreant	1	U	U	N/A	N/A
Disciple of the Vault	1	B	B	N/A	N/A
Gorilla Shaman	1	R	R	N/A	N/A
The Ur-Dragon	1	WUBRG	4WUBRG	N/A	N/A
Golgari Grave-Troll	1	G	4G	N/A	N/A
Duplicant	1		6	N/A	N/A
Blisterpod	1		G	N/A	N/A
Prossh, Skyraider of Kher	1	BRG	3BRG	N/A	N/A
Blighted Bat	1	B	2B	N/A	N/A
Jeleva, Nephalia's Scourge	1	UBR	1UBR	N/A	N/A
Silver Myr	1	U	2	N/A	N/A
The Gitrog Monster	1	BG	3BG	N/A	N/A
Hangarback Walker	1		XX	N/A	N/A
Fierce Empath	1	G	2G	N/A	N/A
Mindslicer	1	B	2BB	N/A	N/A
Goblin Bushwhacker	1	R	R	N/A	N/A
Manakin	1		2	N/A	N/A
Heritage Druid	1	G	G	N/A	N/A
Looter il-Kor	1	U	1U	N/A	N/A
Captain Sisay	1	WG	2GW	N/A	N/A
Myr Retriever	1		2	N/A	N/A
Bond Beetle	1	G	G	N/A	N/A
Putrid Imp	1	B	B	N/A	N/A
Fleshbag Marauder	1	B	2B	N/A	N/A
Wingcrafter	1	U	U	N/A	N/A
Somberwald Sage	1	G	2G	N/A	N/A
Joraga Treespeaker	1	G	G	N/A	N/A
Sidisi's Faithful	1	U	U	N/A	N/A
Beast Whisperer	1	G	2GG	N/A	N/A
Smothering Abomination	1		2BB	N/A	N/A
Peregrine Drake	1	U	4U	N/A	N/A
Trinket Mage	1	U	2U	N/A	N/A
Goblin Dark-Dwellers	1	R	3RR	N/A	N/A
Grand Arbiter Augustin IV	1	WU	2WU	N/A	N/A
Treetop Scout	1	G	G	N/A	N/A
Elvish Visionary	1	G	1G	N/A	N/A
Anafenza, Kin-Tree Spirit	1	W	WW	N/A	N/A
Containment Priest	1	W	1W	N/A	N/A
Phyrexian Dreadnought	1		1	N/A	N/A
Dragon Mage	1	R	5RR	N/A	N/A
Sygg, River Cutthroat	1	UB	U/BU/B	N/A	N/A
Mist-Cloaked Herald	1	U	U	N/A	N/A
Phyrexian Metamorph	1	U	3U/P	3	N/A
Kederekt Leviathan	1	U	6UU	N/A	N/A
Tinder Wall	1	RG	G	N/A	N/A
Hokori, Dust Drinker	1	W	2WW	N/A	N/A
Sire of Insanity	1	BR	4BR	N/A	N/A
Goblin Electromancer	1	UR	UR	N/A	N/A
Nettle Sentinel	1	G	G	N/A	N/A
Scryb Sprites	1	G	G	N/A	N/A
