Card	Count	Color	CMC	Type	Mana Cost	ACC	RCC	Decks
Buried Alive	7	B	3	Sorcery	2B	N/A	N/A	Buried Alive Razaketh Sidisi, Grixis Twin, Honorbru Meren, Meta Pod, Mimeo Reanimator Hulk, Nooze Reanimator, Varolz Hulk
Buried Ruin	3	C	0	Land	N/A	N/A	N/A	Godo Helm, Paradox Arcum, Teferi Chain Veil
By Force	1	R	1	Sorcery	XR	N/A	N/A	Jeleva Storm
Cabal Pit	1	B	0	Land	N/A	N/A	N/A	Gitrog Dredge
Cabal Ritual	22	B	2	Instant	1B	N/A	N/A	BUGR Paradox Scepter, Bad Farm, Breya Consultation, Buried Alive Razaketh Sidisi, Doomsday Breya, Doomsday Yidris, Doomsday Zur, Gitrog Dredge, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Mad Farm, Melt Banana, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Shimmer Zur, Sidisi Ad Naus Fishbowl, Varolz Hulk, Zuran Consultation
Cabal Therapy	10	B	1	Sorcery	B	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Breakfast Hulk, Buried Alive Razaketh Sidisi, Mad Farm, Najeela Hermit Hulk, Sidisi Ad Naus Fishbowl, Tazri Hulk, Varolz Hulk
Candelabra of Tawnos	2	C	1	Artifact	1	N/A	N/A	High Tide Jace, Kess Storm
Captain Sisay	1	WG	4	Creature	2GW	N/A	N/A	Paradox Sisay
Capture of Jingzhou	1	U	5	Sorcery	3UU	N/A	N/A	Edric Turns
Careful Study	3	U	1	Sorcery	U	N/A	N/A	Mimeo Reanimator Hulk, Razakats, Scion Reanimator
Carpet of Flowers	40	G	1	Enchantment	G	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Divergent Control, Doomsday Yidris, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, HE-MAN, Harvest Animar, Honorbru Meren, Hulkweaver, Melt Banana, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Selvala Brostorm, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Carrion Feeder	3	B	1	Creature	B	N/A	N/A	Honorbru Meren, Shuffle Hulk, T&T Hulkball
Cascade Bluffs	1	UR	0	Land	N/A	N/A	N/A	Grixis Twin
Caustic Caterpillar	8	G	1	Creature	G	N/A	N/A	Blood Pod, Edric Turns, Gitrog Dredge, Honorbru Meren, Midrange Yisan, Momir Hackball, T&T Hulkball, Varolz Hulk
Cavern of Souls	18	C	0	Land	N/A	N/A	N/A	Bad Farm, Buried Alive Razaketh Sidisi, Doomsday Breya, Edric Turns, Food Chain Prossh, Gitrog Dredge, Godo Helm, Honorbru Meren, Mad Farm, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Paradox Arcum, Paradox Sisay, SBT Grave Combos, Selvala Brostorm, Sidisi Ad Naus Fishbowl, Varolz Hulk
Cephalid Coliseum	6	U	0	Land	N/A	N/A	N/A	Grixis Consultation, Grixis Twin, Razakats, SBT Grave Combos, Scepter Control, Seasons Pastigur
Cephalid Illusionist	5	U	2	Creature	1U	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Najeela Hermit Hulk, Shuffle Hulk
Cephalid Inkshrouder	1	U	3	Creature	2U	N/A	N/A	SBT Grave Combos
Chain of Vapor	35	U	1	Instant	U	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, SBT Grave Combos, Scepter Control, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Chains of Mephistopheles	2	B	2	Enchantment	1B	N/A	N/A	Honorbru Meren, Seasons Pastigur
Chalice of the Void	1	C	0	Artifact	XX	N/A	N/A	Godo Helm
Channeler Initiate	1	G	2	Creature	1G	N/A	N/A	SBT Grave Combos
Chaos Warp	1	R	3	Instant	2R	N/A	N/A	Godo Helm
Chart a Course	4	U	2	Sorcery	1U	N/A	N/A	Baral Control, Grixis Twin, Razakats, Scion Reanimator
Children of Korlis	3	W	1	Creature	W	N/A	N/A	Bad Farm, Mad Farm, Rad Farm
Chord of Calling	5	G	3	Instant	XGGG	N/A	0	Harvest Animar, Midrange Yisan, Paradox Sisay, Selvala Brostorm, T&T Hulkball
Chromatic Sphere	1	C	1	Artifact	1	N/A	N/A	Sidisi Ad Naus Fishbowl
Chromatic Star	1	C	1	Artifact	1	N/A	N/A	Sidisi Ad Naus Fishbowl
Chrome Mox	57	C	0	Artifact	0	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Baral Control, Breakfast Hulk, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Godo Helm, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Selvala Brostorm, Shimmer Zur, Shuffle Hulk, Sidisi Ad Naus Fishbowl, T&T Hulkball, Tazri Hulk, Teferi Chain Veil, Varolz Hulk, Zuran Consultation
Citanul Flute	1	C	5	Artifact	5	N/A	N/A	Paradox Arcum
City of Brass	46	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Blood Pod, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
City of Solitude	1	G	3	Enchantment	2G	N/A	N/A	Food Chain Prossh
City of Traitors	5	C	0	Land	N/A	N/A	N/A	Buried Alive Razaketh Sidisi, Gitrog Dredge, Godo Helm, Paradox Arcum, Sidisi Ad Naus Fishbowl
Cloud of Faeries	2	U	2	Creature	1U	N/A	N/A	Edric Turns, Harvest Animar
Cloudstone Curio	1	C	3	Artifact	3	N/A	N/A	Selvala Brostorm
Codex Shredder	2	C	1	Artifact	1	N/A	N/A	Godo Helm, Sidisi Ad Naus Fishbowl
Collective Brutality	2	B	2	Sorcery	1B	N/A	N/A	Buried Alive Razaketh Sidisi, Varolz Hulk
Command Beacon	1	C	0	Land	N/A	N/A	N/A	Gitrog Dredge
Command Tower	50	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Edric Turns, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Compost	3	G	2	Enchantment	1G	N/A	N/A	4c Rashmi, Divergent Control, Meta Pod
Concordant Crossroads	2	G	1	Enchantment	G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid
Conjurer's Bauble	1	C	1	Artifact	1	N/A	N/A	Sidisi Ad Naus Fishbowl
Consecrated Sphinx	5	U	6	Creature	4UU	N/A	N/A	Baral Control, Harvest Animar, Nooze Reanimator, Razakats, Scion Reanimator
Containment Priest	1	W	2	Creature	1W	N/A	N/A	Zuran Consultation
Contamination	1	B	3	Enchantment	2B	N/A	N/A	Honorbru Meren
Copy Artifact	18	U	2	Enchantment	1U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Divergent Control, Doomsday Zur, E-MAN, Grixis Consultation, HE-MAN, High Tide Jace, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Opus Thief, Paradox Scepter Thrasios, Scepter Control, Seasons Pastigur, Teferi Chain Veil, Zuran Consultation
Corpse Dance	1	B	3	Instant	2B	N/A	N/A	Buried Alive Razaketh Sidisi
Counterbalance	2	U	2	Enchantment	UU	N/A	N/A	E-MAN, Seasons Pastigur
