Card	Decks	Type	Mana Cost
Kamahl, Fist of Krosa	1	Creature	4GG
Nature's Lore	1	Sorcery	1G
Wall of Blossoms	1	Creature	1G
Greater Good	1	Enchantment	2GG
Sylvan Scrying	1	Sorcery	1G
Noose Constrictor	1	Creature	1G
Voyaging Satyr	1	Creature	1G
Skullwinder	1	Creature	2G
Tendershoot Dryad	1	Creature	4G
Gaea's Blessing	1	Sorcery	1G
Land Grant	1	Sorcery	1G
Bow of Nylea	1	Enchantment Artifact	1GG
Karametra's Acolyte	1	Creature	3G
Beastcaller Savant	1	Creature	1G
Kraul Harpooner	1	Creature	1G
Berserk	1	Instant	G
Sheltering Ancient	1	Creature	1G
Scryb Sprites	1	Creature	G
Dosan the Falling Leaf	1	Creature	1GG
Melira, Sylvok Outcast	1	Creature	1G
Generous Patron	1	Creature	2G
Garruk, Primal Hunter	1	Planeswalker	2GGG
Primal Command	1	Sorcery	3GG
Channeler Initiate	1	Creature	1G
Joraga Treespeaker	1	Creature	G
Reclaim	1	Instant	G
Craterhoof Behemoth	1	Creature	5GGG
Ramunap Excavator	1	Creature	2G
Krosan Wayfarer	1	Creature	G
Duskwatch Recruiter	1	Creature	1G
Somberwald Sage	1	Creature	2G
Deglamer	1	Instant	1G
Ravaging Riftwurm	1	Creature	1GG
Nettle Sentinel	1	Creature	G
Burgeoning	1	Enchantment	G
Genesis Hydra	1	Creature	XGG
Spire Tracer	1	Creature	G
Phytoburst	1	Sorcery	1G
City of Solitude	1	Enchantment	2G
Soul's Majesty	1	Sorcery	4G
Savage Summoning	1	Instant	G
Ancient Animus	1	Instant	1G
Xantid Swarm	1	Creature	G
Ulvenwald Tracker	1	Creature	G
Three Visits	1	Sorcery	1G
Life's Legacy	1	Sorcery	1G
Might of Old Krosa	1	Instant	G
Genesis Wave	1	Sorcery	XGGG
Heart Warden	1	Creature	1G
Heritage Druid	1	Creature	G
Fierce Empath	1	Creature	2G
Vizier of the Menagerie	1	Creature	3G
Bond Beetle	1	Creature	G
Birchlore Rangers	1	Creature	G
Gaea's Herald	1	Creature	1G
Sakura-Tribe Scout	1	Creature	G
Reap	1	Instant	1G
Beast Whisperer	1	Creature	2GG
Nantuko Tracer	1	Creature	1G
Invigorate	1	Instant	2G
Groundswell	1	Instant	G
Treetop Scout	1	Creature	G
Elvish Visionary	1	Creature	1G
Lignify	1	Enchantment	1G
Vines of Vastwood	1	Instant	G
Momentous Fall	1	Instant	2GG
Golgari Grave-Troll	1	Creature	4G
Rishkar's Expertise	1	Sorcery	4GG
